Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,BFECH,BFECD,BFECA,B365CH,B365CD,B365CA
Ireland,Premier Division,2025,22/08/2025,19:45,Bohemians,Cork City,3,0,H,1.34,5.4,9,1.4,5.1,8,1.34,4.66,7.3,1.37,5.7,9.8,1.38,4.5,6
Ireland,Premier Division,2025,22/08/2025,19:45,Drogheda,St. Patricks,0,1,A,3.46,3.26,2.26,3.75,3.35,2.1,3.46,3.18,2.02,3.9,3.5,2.12,3.25,3.1,2.1
Ireland,Premier Division,2025,22/08/2025,19:45,Galway,Derry City,1,2,A,3.17,3.09,2.5,2.8,3.2,2.63,2.64,3,2.54,3,3.15,2.78,2.55,3,2.55
Ireland,Premier Division,2025,22/08/2025,19:45,Waterford,Sligo Rovers,1,2,A,2.21,3.67,3.18,2.2,3.6,3.25,2.15,3.42,2.87,2.32,3.8,3.15,2.15,3.4,2.8
Ireland,Premier Division,2025,29/08/2025,19:45,Cork City,Waterford,2,0,H,2.54,3.55,2.75,2.55,3.4,2.7,2.46,3.28,2.57,2.66,3.75,2.78,2.55,3.4,2.63
Ireland,Premier Division,2025,29/08/2025,19:45,Derry City,St. Patricks,2,2,D,2.4,3.13,3.3,2.38,3.2,3.3,2.3,3.02,3,2.44,3.15,3.45,2.3,3.1,3.3
Ireland,Premier Division,2025,30/08/2025,19:45,Sligo Rovers,Bohemians,0,0,D,4.58,3.83,1.78,4.5,3.85,1.77,4.1,3.61,1.73,4.6,3.85,1.86,4.5,3.75,1.73
Ireland,Premier Division,2025,31/08/2025,19:00,Shamrock Rovers,Drogheda,2,1,H,1.5,4.12,7.56,1.48,4.25,8.5,1.44,3.88,6.74,1.51,4.2,9.6,1.48,3.75,8.5
Ireland,Premier Division,2025,07/09/2025,17:00,Shelbourne,Galway,1,0,H,1.97,3.26,4.42,1.95,3.45,4.2,1.88,3.23,3.89,2.02,3.35,4.6,1.95,3.2,4.2
Ireland,Premier Division,2025,12/09/2025,19:45,Bohemians,Derry City,3,4,A,2.22,3.1,3.77,2.23,3.25,3.5,2.15,3.02,3.31,2.3,3.2,3.8,2.1,3.1,3.5
